frame,time,state,right_THUMB_dist,right_INDEX_dist,right_MIDDLE_dist,right_RING_dist,right_PINKY_dist,right_THUMB_angle,right_INDEX_angle,right_MIDDLE_angle,right_RING_angle,right_PINKY_angle
119,19:50:48,0,1.4890449334166738,1.990610170590129,2.117549108018229,1.949899410932049,1.6443497997720868,179.24923889819965,179.48050422823454,176.18596156864118,176.48857151705565,177.08672103074267
120,19:50:48,0,1.395756253897609,1.842901279145587,1.9212173175547045,1.842151670625881,1.6383455257776969,179.96114848233435,179.10922599786372,179.26036686873616,178.76553640112806,179.03538618607476
121,19:50:48,0,1.405355397888634,1.8315767135060708,1.9148936638042908,1.8414609170826293,1.6439937325224694,179.69246605222068,179.37373405682618,179.42650528683058,177.95515592053152,178.25840669756994
122,19:50:48,0,1.358922048299772,1.7963179389119834,1.9186427309485452,1.8108275687550195,1.6333398925944065,177.530238435312,179.79187841906395,179.2466939799895,177.95171804958497,179.2808612225779
123,19:50:48,0,1.3516132794735194,1.7875306148137962,1.9071142638322292,1.7923929048665308,1.6215500212687457,174.95052634818057,179.97661217644333,178.5169926092551,176.0214861210228,177.87061401910785
124,19:50:48,0,1.3576433804344277,1.80614235792996,1.923346619386968,1.8097825760235355,1.62310098994065,175.8582389312392,178.45131860780725,179.89132933418685,173.2173206682205,174.1295350802959
125,19:50:48,0,1.337332344481454,1.768984614061112,1.8789532721535132,1.7525723205499475,1.5955533363170404,175.0116321759904,178.99888214502897,177.88896319278038,171.41370465198537,174.36077997539144
126,19:50:48,0,1.3337542936769529,1.767510991314586,1.8851478345367565,1.77529656553854,1.6085035392500644,174.5887045609606,179.8171905540915,177.90075286662767,172.4726078144928,174.5383399232349
127,19:50:48,0,1.358615632761998,1.8114747146391497,1.902656483337967,1.781428780751231,1.6086003976187255,177.3051840317011,179.26356591958722,178.81656758254417,173.25036044503622,176.65371424345676
128,19:50:48,0,1.3622055968736095,1.799594088574226,1.9001004566898556,1.7878257274687777,1.6131994303612045,176.90119254701045,178.51544053495186,178.48509920048016,173.12709839032053,175.65995325300804
129,19:50:49,0,1.340889645475196,1.7921463577222951,1.8732548889031624,1.76264326324654,1.5872297827607482,179.4012893329387,177.3643188059253,179.60112404116964,173.82141153105115,175.75189231062993
130,19:50:49,0,1.3513166841067366,1.7953824166194818,1.8899215350742256,1.7933134808748412,1.6122565947228342,179.45981192719628,179.5442949259318,178.8365645563375,174.06142765167567,178.9672943411984
131,19:50:49,0,1.3607558509467912,1.8083006901298404,1.908465979309365,1.8126819117395407,1.6219652801130786,179.72188146318487,178.7990221831677,179.81805073575916,175.56369170196604,178.9856665794268
132,19:50:49,0,1.3724496694888435,1.822700614021382,1.9246562909925304,1.821001382855884,1.6398651048674069,178.7472728659324,178.442208759937,178.14620255093618,172.6865000107747,177.2867492658739
133,19:50:49,0,1.350667387617261,1.7876655518043991,1.8877231402544448,1.7917662671256922,1.615736494164278,179.0964222342994,178.0391298938977,179.29000552573032,174.3223887977994,177.26193550675282
134,19:50:49,0,1.352019247478328,1.7895838064642895,1.8790694505516856,1.7892264485881082,1.5994859218247013,179.33058864937647,177.729412668601,179.79208712477637,175.60888286122807,176.48704377792612
135,19:50:49,0,1.356022038949679,1.7978138736651452,1.8985722734787336,1.811873463599476,1.6161369978973148,176.3138284501289,178.42750684688824,179.48683127683367,175.75883150662324,176.15041579736516
136,19:50:49,0,1.3574721666107064,1.805418339313092,1.9036565350152173,1.8156176422880053,1.6241875105721144,177.30698268741415,178.71099386215892,179.4074297201331,175.55264954840078,175.7290454849494
137,19:50:49,0,1.3591848142319354,1.792896297043908,1.897117443457741,1.8028747249071704,1.621059924219168,177.57750913165916,179.96691323418526,178.99413972203627,174.06014206360695,176.7309887709266
138,19:50:49,0,1.373681813098838,1.7991514520684693,1.903730349597642,1.798829471122675,1.6237891408589986,177.6601823314306,179.83819743013262,178.99027489234572,174.8445874184605,177.31336957715453
139,19:50:49,0,1.3718517755079624,1.7955943030792143,1.9106631001222103,1.8001437537461915,1.6236196107245693,177.7880699133301,179.09199046622305,179.56348425453288,174.1418969309533,177.66480701567815
140,19:50:49,0,1.3685179651304626,1.8024131659254576,1.917998547205761,1.8078770974793767,1.6338155766533242,175.62552140340551,177.82274723512597,179.97602915711943,175.4273696102332,178.36511727111423
141,19:50:49,0,1.3720015991849384,1.807991721939336,1.9143361012603304,1.8065638226819796,1.630650826833287,175.86556869942837,178.14840409639925,179.92901193992714,175.6778198864797,178.6461052745044
142,19:50:49,0,1.375133648170357,1.801839276567976,1.9122560076225228,1.8107524169426008,1.6329665589007003,176.8545858024098,179.82209424376836,178.9164769680395,175.33646754618044,177.17474238725427
