frame,time,state,left_THUMB_dist,left_INDEX_dist,left_MIDDLE_dist,left_RING_dist,left_PINKY_dist,left_THUMB_angle,left_INDEX_angle,left_MIDDLE_angle,left_RING_angle,left_PINKY_angle,right_THUMB_dist,right_INDEX_dist,right_MIDDLE_dist,right_RING_dist,right_PINKY_dist,right_THUMB_angle,right_INDEX_angle,right_MIDDLE_angle,right_RING_angle,right_PINKY_angle
247,09:42:18,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.350560147090658,1.8067899616616132,1.9049807690042277,1.8336275628194794,1.641671216024046,171.2289264923727,179.93650181882717,176.85373475259954,173.84792500939457,175.1119325310275
248,09:42:18,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351111081630536,1.8032970707101923,1.9033351571059365,1.8300352975739291,1.643584672874085,172.0119419172912,179.72211153113452,176.5026199789666,173.7436149063947,174.75477674250445
249,09:42:18,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3544828913950877,1.8088145575638377,1.9119439914841623,1.831847190614062,1.6578755430677574,170.93182534941994,179.91822666038502,176.39482995534533,173.132069600963,175.26225484417145
250,09:42:18,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3538272750242373,1.8087602118247739,1.910212640335441,1.8338112987344812,1.6590845604556415,171.5597478463663,179.69701517315528,175.69360991995723,172.91678140180747,175.0958251886504
251,09:42:18,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3620750454078143,1.8175151576594661,1.922545731538566,1.8345577960217592,1.6497864234738533,171.33648817251526,179.93648981908873,176.77999003258373,171.77169195879938,174.45368128815582
252,09:42:18,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3570628288169475,1.8167344751332182,1.9229683089428247,1.8414706906638165,1.662150122380349,171.50071524978827,179.8243656204431,176.46447290710458,173.6240615581965,174.29497866413942
253,09:42:18,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351532416409831,1.8124492783387003,1.919096920665626,1.8451998626743351,1.6587258305037733,171.68944695741405,179.820855869385,176.32281062206764,172.99456994064477,174.31297503179536
254,09:42:18,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.356435185223138,1.8152421172987303,1.9191475315675461,1.8469468203649262,1.6589763154866304,170.84111459175318,179.2371524714488,175.45627467367206,172.36434153420566,174.94409623960885
255,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.354652089139338,1.8149187794942345,1.9217969374553903,1.8443211339378967,1.6587850608289425,171.1378231477587,179.0833943063572,175.66078435263134,172.35020204525244,175.04870975532097
256,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3527580907888572,1.8126915096913983,1.916591154944391,1.8341975214540036,1.6416699067609517,171.1682309819022,179.77041038707392,175.9601506530049,172.53043875101827,174.94034864398142
257,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3540810969970458,1.8084455952861869,1.915757149938968,1.8340494706080293,1.6444247491931163,171.05119550109916,179.887986512237,176.44443857002082,173.3500056886084,176.00523711356414
258,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3506308545183057,1.8050006240458325,1.9108807024629084,1.8350767882754824,1.645096176867032,170.94222931183552,179.7260928258519,176.0324416268617,172.91345949233875,175.78438379569243
259,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3668363009425892,1.818357411409954,1.9177494888409208,1.8339826898400695,1.650201179043938,170.36485285532825,179.78841084064322,176.26944798276824,172.90571732756734,175.0748347254933
260,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3674306069515287,1.82009422365437,1.9210261424160948,1.8382642080821867,1.6548307069952364,170.16468483907883,178.92424973142857,176.97854719953497,173.47120068399695,175.00723263232717
261,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3586382623117241,1.8114105181306552,1.9129597843524002,1.8342764019237838,1.6474913232592172,170.3562704156033,179.91232729546383,176.66768762283417,173.41309489204932,175.73052251018996
262,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3597900617254544,1.8196515272442773,1.9238202851518493,1.8461071048610709,1.653052839173736,168.15638024240596,179.67770508021496,176.45415578899343,173.53849411420416,174.96325479025998
263,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3579463663707945,1.8145713804838057,1.9157772072619697,1.845161226610523,1.6512280935435146,168.71301594234208,179.68499205668562,176.30404090748317,173.7181961371276,175.0885661172713
264,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3558769534752104,1.8145011503781838,1.9107084055118466,1.8335463977173234,1.6506539289227509,168.93486070048894,179.67485427723375,176.59160115909754,173.59325766559672,174.00301056000166
265,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351007517405134,1.80792596625664,1.905367287109628,1.8285081300599195,1.6449206560973908,168.70365277601812,179.50913623017766,175.78086935388507,172.32529038498177,174.52923522457513
266,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3537743361626373,1.8192918475099205,1.9184679073320619,1.8463942468844983,1.6593120039220606,168.2292074219969,179.59259269684068,175.69541193185933,172.18233334864456,173.96720483954212
267,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3554109196430528,1.821239692928259,1.9136958058123723,1.841659632300244,1.6492520816296203,168.46247801679488,179.26826360013865,175.55546563472444,172.41544465028858,175.09249425299421
268,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3557530798009756,1.8205720557881149,1.9144232476230034,1.8410013108061443,1.641153950139886,168.10722441217368,179.23084735154723,175.8118004274954,172.89148935497084,174.6744433268255
269,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3623691209133277,1.8280775665298215,1.915651291289845,1.8431008798616775,1.6532779111632387,166.98987257469662,179.88583961954083,176.2140716439276,172.93607025011747,174.79075498659944
270,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3603864947216493,1.829345793839468,1.9156792732918886,1.8402161670598003,1.6518331421093921,167.16113547229563,179.84131148242122,176.42737993409696,173.07641327117523,174.59853816352148
271,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.346216581273511,1.8159025600904004,1.9085883629366729,1.836914150324923,1.649033216342663,167.1968656130565,179.68358178628733,176.00699842134256,173.12281348679008,174.3014354024225
272,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3482861148365468,1.8219945084535678,1.9150473664530487,1.8432391303154627,1.6475882748099746,167.4091535385102,179.3799084973401,175.85604612138994,173.6257998629498,174.46291040113545
273,09:42:19,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.349060084307626,1.821800453596724,1.9181499426602928,1.8515388363412415,1.6556820202585483,168.64952289895797,178.7613894753095,175.3622356425046,172.04580363791132,173.98831358258522
274,09:42:20,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.343120148900973,1.8142374374471506,1.9183856851466419,1.8483848589638177,1.6363456160430445,169.463178518749,177.03930952493303,174.45976944129907,170.5031474249507,172.22935616600483
275,09:42:20,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3433447423343396,1.818325625564981,1.9154681661936577,1.8411406565085546,1.639500179574866,169.86145074987522,177.02149367643153,174.2396982421963,170.41055954233306,172.83442191665787
276,09:42:20,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3345753283722392,1.7903329533736523,1.899655052212664,1.8270790818606368,1.601825515977011,172.08138095269257,175.55829808652007,171.96898287686645,168.65187845450663,169.94338444400688
277,09:42:20,PALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3329393804408887,1.7978930360930208,1.898206844035215,1.8192775243225225,1.60587495405034,170.42440293207497,175.47963164414378,172.67630312684932,167.9762400089742,169.91462442810789
